Region,Model,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
洛杉矶好莱坞,qwen3-1.7b,11,45.83%,2025-12-27 22:51:09,37.50%,25.00%,50.00%,100.00%,25.00%
纽约时代广场,qwen3-235b-a22b,12,50.00%,2025-12-27 22:54:09,25.00%,50.00%,50.00%,50.00%,100.00%
纽约时代广场,qwen3-32b,12,50.00%,2025-12-27 22:57:05,37.50%,25.00%,75.00%,25.00%,100.00%
纽约时代广场,qwen3-8b,8,33.33%,2025-12-27 23:00:26,12.50%,25.00%,50.00%,25.00%,75.00%
纽约时代广场,qwen3-4b,9,37.50%,2025-12-27 23:02:34,25.00%,25.00%,25.00%,100.00%,25.00%
纽约时代广场,qwen3-1.7b,9,37.50%,2025-12-27 23:05:11,25.00%,25.00%,25.00%,100.00%,25.00%
维也纳美泉宫,qwen3-235b-a22b,13,54.17%,2025-12-27 23:08:33,37.50%,50.00%,50.00%,50.00%,100.00%
维也纳美泉宫,qwen3-32b,9,37.50%,2025-12-27 23:14:00,12.50%,25.00%,50.00%,25.00%,100.00%
维也纳美泉宫,qwen3-8b,8,33.33%,2025-12-27 23:18:19,25.00%,50.00%,50.00%,0.00%,50.00%
维也纳美泉宫,qwen3-4b,8,33.33%,2025-12-27 23:21:33,25.00%,25.00%,0.00%,100.00%,25.00%
维也纳美泉宫,qwen3-1.7b,8,33.33%,2025-12-27 23:25:41,25.00%,25.00%,0.00%,100.00%,25.00%
罗马斗兽场,qwen3-235b-a22b,10,41.67%,2025-12-27 23:28:46,37.50%,50.00%,50.00%,0.00%,75.00%
罗马斗兽场,qwen3-32b,14,58.33%,2025-12-27 23:31:46,37.50%,50.00%,50.00%,75.00%,100.00%
罗马斗兽场,qwen3-8b,14,58.33%,2025-12-27 23:36:05,50.00%,75.00%,50.00%,50.00%,75.00%
罗马斗兽场,qwen3-4b,7,29.17%,2025-12-27 23:38:29,0.00%,0.00%,25.00%,100.00%,50.00%
罗马斗兽场,qwen3-1.7b,6,25.00%,2025-12-27 23:42:21,0.00%,0.00%,25.00%,100.00%,25.00%
