Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
纽约时代广场,gemini,graph,Direct,18,75.00%,2025-12-25T23:41:12.549275,100.00%,75.00%,50.00%,25.00%,100.00%
纽约时代广场,gemini,map,Direct,14,58.33%,2025-12-26T01:44:04.928966,75.00%,50.00%,50.00%,25.00%,75.00%
纽约时代广场,openai,context,Direct,17,70.83%,2025-12-26T01:45:03.866019,50.00%,75.00%,75.00%,75.00%,100.00%
纽约时代广场,openai,graph,Direct,15,62.50%,2025-12-26T01:45:53.139899,37.50%,50.00%,75.00%,75.00%,100.00%
纽约时代广场,openai,map,Direct,14,58.33%,2025-12-26T01:46:45.211170,50.00%,25.00%,50.00%,75.00%,100.00%
纽约时代广场,qwen,context,Direct,17,70.83%,2025-12-26T01:47:20.054620,50.00%,75.00%,75.00%,75.00%,100.00%
纽约时代广场,qwen,graph,Direct,14,58.33%,2025-12-26T01:47:58.059319,37.50%,25.00%,50.00%,100.00%,100.00%
纽约时代广场,qwen,map,Direct,13,54.17%,2025-12-26T01:48:32.093780,12.50%,50.00%,75.00%,75.00%,100.00%
维也纳美泉宫,claude,context,Direct,21,87.50%,2025-12-26T01:50:22.513662,100.00%,100.00%,100.00%,75.00%,50.00%
维也纳美泉宫,claude,graph,Direct,13,54.17%,2025-12-26T01:54:59.323590,37.50%,50.00%,75.00%,25.00%,100.00%
维也纳美泉宫,claude,map,Direct,16,66.67%,2025-12-26T01:56:24.678606,75.00%,50.00%,75.00%,25.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,16,66.67%,2025-12-26T01:57:23.478081,50.00%,100.00%,100.00%,50.00%,50.00%
维也纳美泉宫,deepseek,graph,Direct,13,54.17%,2025-12-26T01:58:20.182332,25.00%,75.00%,75.00%,25.00%,100.00%
维也纳美泉宫,deepseek,map,Direct,13,54.17%,2025-12-26T01:59:14.635667,37.50%,50.00%,100.00%,0.00%,100.00%
维也纳美泉宫,gemini,context,Direct,22,91.67%,2025-12-26T02:07:26.240932,100.00%,100.00%,100.00%,50.00%,100.00%
维也纳美泉宫,gemini,graph,Direct,21,87.50%,2025-12-26T02:28:48.416371,100.00%,100.00%,75.00%,50.00%,100.00%
维也纳美泉宫,gemini,map,Direct,16,66.67%,2025-12-26T02:52:44.716079,75.00%,50.00%,75.00%,50.00%,75.00%
维也纳美泉宫,openai,context,Direct,23,95.83%,2025-12-26T02:53:43.618275,87.50%,100.00%,100.00%,100.00%,100.00%
维也纳美泉宫,openai,graph,Direct,11,45.83%,2025-12-26T02:54:33.876091,25.00%,0.00%,75.00%,50.00%,100.00%
维也纳美泉宫,openai,map,Direct,14,58.33%,2025-12-26T02:55:24.283498,50.00%,0.00%,100.00%,50.00%,100.00%
维也纳美泉宫,qwen,context,Direct,16,66.67%,2025-12-26T02:55:56.323096,25.00%,100.00%,75.00%,75.00%,100.00%
维也纳美泉宫,qwen,graph,Direct,15,62.50%,2025-12-26T02:56:27.592689,25.00%,50.00%,100.00%,75.00%,100.00%
维也纳美泉宫,qwen,map,Direct,15,62.50%,2025-12-26T02:56:57.039027,37.50%,25.00%,100.00%,75.00%,100.00%
罗马斗兽场,claude,context,Direct,23,95.83%,2025-12-26T02:58:35.453110,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,claude,graph,Direct,21,87.50%,2025-12-26T03:02:19.107470,87.50%,100.00%,100.00%,50.00%,100.00%
罗马斗兽场,claude,map,Direct,12,50.00%,2025-12-26T03:04:08.802071,12.50%,0.00%,100.00%,75.00%,100.00%
罗马斗兽场,deepseek,context,Direct,14,58.33%,2025-12-26T03:05:04.044544,37.50%,75.00%,75.00%,50.00%,75.00%
罗马斗兽场,deepseek,graph,Direct,12,50.00%,2025-12-26T03:06:01.654896,0.00%,50.00%,100.00%,50.00%,100.00%
罗马斗兽场,deepseek,map,Direct,12,50.00%,2025-12-26T03:06:56.071225,0.00%,75.00%,75.00%,50.00%,100.00%
罗马斗兽场,gemini,context,Direct,23,95.83%,2025-12-26T03:13:33.764222,100.00%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,gemini,graph,Direct,19,79.17%,2025-12-26T03:29:11.319913,87.50%,75.00%,50.00%,75.00%,100.00%
罗马斗兽场,gemini,map,Direct,16,66.67%,2025-12-26T03:50:59.988338,75.00%,25.00%,50.00%,75.00%,100.00%
罗马斗兽场,openai,context,Direct,22,91.67%,2025-12-26T03:51:52.474911,87.50%,100.00%,100.00%,75.00%,100.00%
罗马斗兽场,openai,graph,Direct,15,62.50%,2025-12-26T03:52:44.110788,37.50%,75.00%,50.00%,75.00%,100.00%
罗马斗兽场,openai,map,Direct,12,50.00%,2025-12-26T03:53:35.805510,0.00%,75.00%,50.00%,75.00%,100.00%
罗马斗兽场,qwen,context,Direct,17,70.83%,2025-12-26T03:54:10.167005,50.00%,100.00%,75.00%,75.00%,75.00%
罗马斗兽场,qwen,graph,Direct,12,50.00%,2025-12-26T03:54:39.937524,12.50%,75.00%,75.00%,50.00%,75.00%
罗马斗兽场,qwen,map,Direct,12,50.00%,2025-12-26T03:55:07.150114,0.00%,75.00%,75.00%,75.00%,75.00%
芝加哥千禧公园,claude,context,Direct,18,75.00%,2025-12-26T03:56:46.900885,62.50%,100.00%,100.00%,25.00%,100.00%
芝加哥千禧公园,claude,graph,Direct,11,45.83%,2025-12-26T04:00:59.323667,25.00%,75.00%,50.00%,0.00%,100.00%
芝加哥千禧公园,claude,map,Direct,10,41.67%,2025-12-26T04:02:09.452688,25.00%,50.00%,50.00%,25.00%,75.00%
芝加哥千禧公园,deepseek,context,Direct,12,50.00%,2025-12-26T04:08:08.035601,50.00%,75.00%,75.00%,0.00%,50.00%
芝加哥千禧公园,deepseek,graph,Direct,9,37.50%,2025-12-26T04:09:02.660225,0.00%,25.00%,75.00%,25.00%,100.00%
芝加哥千禧公园,deepseek,map,Direct,10,41.67%,2025-12-26T04:09:58.459927,12.50%,50.00%,50.00%,75.00%,50.00%
